,class,pred_1,prob_1,pred_2,prob_2
8569,LAB RESULTS,LAB RESULTS,0.7544108,LAB RESULTS,0.98323303
4669,QUERY ON CURRENT APPOINTMENT,MEDICATION RELATED,0.3568582,MEDICATION RELATED,0.7572066
3916,NEW APPOINTMENT,NEW APPOINTMENT,0.82490695,NEW APPOINTMENT,0.76333153
2586,MEDICATION RELATED,NEW APPOINTMENT,0.881867,NEW APPOINTMENT,0.7531457
2149,QUERIES FROM PHARMACY,REFILL,0.84796774,MEDICATION RELATED,0.45466167
6050,REFILL,REFILL,0.8762494,REFILL,0.8172214
2560,NEW APPOINTMENT,NEW APPOINTMENT,0.8262921,NEW APPOINTMENT,0.4524122
735,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",OTHERS,0.48386854,MEDICATION RELATED,0.37731406
6591,REFILL,REFILL,0.56108564,REFILL,0.52051145
1666,REFILL,MEDICATION RELATED,0.56884515,REFILL,0.7122514
5213,SYMPTOMS,NEW APPOINTMENT,0.7066842,NEW APPOINTMENT,0.66760784
10664,NEW APPOINTMENT,NEW APPOINTMENT,0.7666138,NEW APPOINTMENT,0.96013516
2733,REFILL,REFILL,0.9976307,REFILL,0.99694246
299,MEDICATION RELATED,MEDICATION RELATED,0.44610992,MEDICATION RELATED,0.99773216
7385,PROVIDER,REFILL,0.44430193,PROVIDER,0.42251676
10195,LAB RESULTS,LAB RESULTS,0.7213533,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",0.42237493
6494,REFILL,REFILL,0.97456455,REFILL,0.83587897
8360,MEDICATION RELATED,QUERIES FROM PHARMACY,0.35066268,REFILL,0.39432895
2372,PROVIDER,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.38201666,PROVIDER,0.7303458
2119,REFILL,REFILL,0.9904156,REFILL,0.9929837
3007,REFILL,REFILL,0.51885176,QUERIES FROM INSURANCE FIRM,0.4754286
7346,MEDICATION RELATED,MEDICATION RELATED,0.94026566,MEDICATION RELATED,0.36624065
2376,NEW APPOINTMENT,NEW APPOINTMENT,0.9824889,NEW APPOINTMENT,0.99664307
679,MEDICATION RELATED,MEDICATION RELATED,0.78854144,MEDICATION RELATED,0.27895695
7306,REFILL,REFILL,0.9976307,REFILL,0.99694246
8487,REFILL,REFILL,0.993089,REFILL,0.9545307
8253,OTHERS,RESCHEDULING,0.34425798,NEW APPOINTMENT,0.4385418
8962,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.9883718,RUNNING LATE TO APPOINTMENT,0.9890031
4072,PROVIDER,PROVIDER,0.38532448,PROVIDER,0.9777298
8129,MEDICATION RELATED,RESCHEDULING,0.21193717,MEDICATION RELATED,0.6362619
9813,LAB RESULTS,LAB RESULTS,0.96967435,LAB RESULTS,0.9675336
2333,NEW APPOINTMENT,NEW APPOINTMENT,0.9818326,NEW APPOINTMENT,0.9533064
4069,REFILL,REFILL,0.65381837,REFILL,0.6283081
7267,PRIOR AUTHORIZATION,REFILL,0.85640055,REFILL,0.6655139
4807,MEDICATION RELATED,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.31606624,MEDICATION RELATED,0.3609825
6138,MEDICATION RELATED,MEDICATION RELATED,0.44229954,MEDICATION RELATED,0.6600999
1554,OTHERS,OTHERS,0.82843494,OTHERS,0.8072951
1032,PROVIDER,MEDICATION RELATED,0.44889784,MEDICATION RELATED,0.7440366
574,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",LAB RESULTS,0.9294416,LAB RESULTS,0.9289686
4722,MEDICATION RELATED,MEDICATION RELATED,0.42833456,MEDICATION RELATED,0.44876462
7258,NEW APPOINTMENT,NEW APPOINTMENT,0.90801316,NEW APPOINTMENT,0.85549664
6614,NEW APPOINTMENT,NEW APPOINTMENT,0.582271,NEW APPOINTMENT,0.6379227
6841,QUERIES FROM PHARMACY,QUERIES FROM PHARMACY,0.856676,QUERIES FROM PHARMACY,0.92004824
8798,RESCHEDULING,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.44265464,MEDICATION RELATED,0.23970287
3659,REFILL,REFILL,0.4068649,REFILL,0.8310613
2981,NEW APPOINTMENT,NEW APPOINTMENT,0.47766834,NEW APPOINTMENT,0.9151388
2473,MEDICATION RELATED,MEDICATION RELATED,0.59162515,MEDICATION RELATED,0.49369392
10205,FOLLOW UP ON PREVIOUS REQUEST,PROVIDER,0.32797047,FOLLOW UP ON PREVIOUS REQUEST,0.9917498
1420,CANCELLATION,NEW APPOINTMENT,0.6648434,NEW APPOINTMENT,0.49305546
10069,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.2708331,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.87998515
2527,LAB RESULTS,LAB RESULTS,0.95815974,LAB RESULTS,0.93052834
8230,CHANGE OF PROVIDER,MEDICATION RELATED,0.38069156,CHANGE OF PROVIDER,0.92661077
8809,MEDICATION RELATED,MEDICATION RELATED,0.38588658,MEDICATION RELATED,0.6699845
7616,NEW APPOINTMENT,NEW APPOINTMENT,0.7838855,MEDICATION RELATED,0.3660417
8723,QUERY ON CURRENT APPOINTMENT,MEDICATION RELATED,0.30223322,MEDICATION RELATED,0.36624065
9169,MEDICATION RELATED,OTHERS,0.34843528,OTHERS,0.36598822
10319,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",CHANGE OF PROVIDER,0.2673245,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.98405886
5092,MEDICATION RELATED,MEDICATION RELATED,0.49570826,MEDICATION RELATED,0.471252
1457,OTHERS,MEDICATION RELATED,0.30223322,MEDICATION RELATED,0.36624065
9729,OTHERS,OTHERS,0.34843528,OTHERS,0.36598822
4758,CANCELLATION,QUERY ON CURRENT APPOINTMENT,0.6473361,CANCELLATION,0.6361069
5987,NEW APPOINTMENT,NEW APPOINTMENT,0.97980917,NEW APPOINTMENT,0.9646573
1036,MEDICATION RELATED,MEDICATION RELATED,0.48472807,MEDICATION RELATED,0.8024557
9532,REFILL,REFILL,0.95083374,REFILL,0.8326843
6984,MEDICATION RELATED,MEDICATION RELATED,0.3627121,MEDICATION RELATED,0.59432507
3904,MEDICATION RELATED,OTHERS,0.34595937,MEDICATION RELATED,0.36624065
10677,CANCELLATION,NEW APPOINTMENT,0.43589815,CANCELLATION,0.37189502
842,REFILL,REFILL,0.9991116,REFILL,0.9961422
10220,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",LAB RESULTS,0.9573229,LAB RESULTS,0.96606445
1726,REFILL,REFILL,0.93897486,REFILL,0.40670702
