,code,pred,prob
8569,LAB RESULTS,LAB RESULTS,0.7544108
4669,QUERY ON CURRENT APPOINTMENT,MEDICATION RELATED,0.3568582
3916,NEW APPOINTMENT,NEW APPOINTMENT,0.82490695
2586,MEDICATION RELATED,NEW APPOINTMENT,0.881867
2149,QUERIES FROM PHARMACY,REFILL,0.84796774
6050,REFILL,REFILL,0.8762494
2560,NEW APPOINTMENT,NEW APPOINTMENT,0.8262921
735,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",OTHERS,0.48386854
6591,REFILL,REFILL,0.56108564
1666,REFILL,MEDICATION RELATED,0.56884515
5213,SYMPTOMS,NEW APPOINTMENT,0.7066842
10664,NEW APPOINTMENT,NEW APPOINTMENT,0.7666138
2733,REFILL,REFILL,0.9976307
299,MEDICATION RELATED,MEDICATION RELATED,0.44610992
7385,PROVIDER,REFILL,0.44430193
10195,LAB RESULTS,LAB RESULTS,0.7213533
6494,REFILL,REFILL,0.97456455
8360,MEDICATION RELATED,QUERIES FROM PHARMACY,0.35066268
2372,PROVIDER,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.38201666
2119,REFILL,REFILL,0.9904156
3007,REFILL,REFILL,0.51885176
7346,MEDICATION RELATED,MEDICATION RELATED,0.94026566
2376,NEW APPOINTMENT,NEW APPOINTMENT,0.9824889
679,MEDICATION RELATED,MEDICATION RELATED,0.78854144
7306,REFILL,REFILL,0.9976307
8487,REFILL,REFILL,0.993089
8253,OTHERS,RESCHEDULING,0.34425798
8962,RUNNING LATE TO APPOINTMENT,RUNNING LATE TO APPOINTMENT,0.9883718
4072,PROVIDER,PROVIDER,0.38532448
8129,MEDICATION RELATED,RESCHEDULING,0.21193717
9813,LAB RESULTS,LAB RESULTS,0.96967435
2333,NEW APPOINTMENT,NEW APPOINTMENT,0.9818326
4069,REFILL,REFILL,0.65381837
7267,PRIOR AUTHORIZATION,REFILL,0.85640055
4807,MEDICATION RELATED,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.31606624
6138,MEDICATION RELATED,MEDICATION RELATED,0.44229954
1554,OTHERS,OTHERS,0.82843494
1032,PROVIDER,MEDICATION RELATED,0.44889784
574,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)",LAB RESULTS,0.9294416
4722,MEDICATION RELATED,MEDICATION RELATED,0.42833456
7258,NEW APPOINTMENT,NEW APPOINTMENT,0.90801316
6614,NEW APPOINTMENT,NEW APPOINTMENT,0.582271
6841,QUERIES FROM PHARMACY,QUERIES FROM PHARMACY,0.856676
8798,RESCHEDULING,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.44265464
3659,REFILL,REFILL,0.4068649
2981,NEW APPOINTMENT,NEW APPOINTMENT,0.47766834
2473,MEDICATION RELATED,MEDICATION RELATED,0.59162515
10205,FOLLOW UP ON PREVIOUS REQUEST,PROVIDER,0.32797047
1420,CANCELLATION,NEW APPOINTMENT,0.6648434
10069,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)","SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)",0.2708331
2527,LAB RESULTS,LAB RESULTS,0.95815974
8230,CHANGE OF PROVIDER,MEDICATION RELATED,0.38069156
8809,MEDICATION RELATED,MEDICATION RELATED,0.38588658
7616,NEW APPOINTMENT,NEW APPOINTMENT,0.7838855
